crossing section margin number s1 s2 s3 s4 s5
Wlong downstream left 1 9 3 2 0 NA
Wlong downstream right 2 33 5 3 2 0
Wlong upstream left 3 14 2 1 NA NA
Wlong upstream right 4 4 12 5 1 NA
PtLook upstream left 5 24 11 9 8 1
PtLook upstream right 6 25 9 1 NA NA
PtLook downstream left 7 19 3 2 1 NA
PtLook downstream right 8 21 8 3 2 0
Bens downstream left 9 13 4 4 0 NA
Bens downstream right 10 7 6 1 NA NA
Bens upstream left 11 14 1 0 NA NA
Bens upstream right 12 8 6 2 1 NA
Juniper upstream left 13 23 6 0 NA NA
Juniper upstream right 14 30 7 3 3 1
Juniper downstream left 15 10 10 1 NA NA
Juniper downstream right 16 20 12 2 1 NA
Swift upstream left 17 22 5 8 2 0
Swift upstream right 18 15 4 1 NA NA
Swift downstream left 19 19 6 1 NA NA
Swift downstream right 20 16 11 3 1 NA
